timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.002388733958426198,0.0,2.3887339584261977,0.0,0.0,1.0,16.602083333333823,64.78927158066867,0.0,0.002388733958426198,1.0,0.25782621474201123
t_1,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.002120368500632366,88006656.0,2.120368500632366,8800665.6,0.0,1.0,16.61226851851906,65.08156088535898,-0.00026836545779383193,0.002120368500632366,1.0,0.7041933394695028
t_2,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0017867529846055167,82411520.0,1.7867529846055166,8241152.0,0.0,1.0,16.717824074073548,65.55141775430756,-0.0003336155160268493,0.0017867529846055167,1.0,0.6379648962781523
t_3,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0014725774020756803,82628608.0,1.4725774020756803,8262860.800000001,0.0,1.0,16.59004629629635,64.57944399312619,-0.0003141755825298363,0.0014725774020756803,1.0,0.6052271040464338
t_4,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.001135806065566889,82657280.0,1.135806065566889,8265728.0,0.0,1.0,16.590277777777374,64.18600164873457,-0.00033677133650879135,0.001135806065566889,1.0,0.5690328019083212
t_5,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0008435294082341191,82874368.0,0.8435294082341191,8287436.800000001,0.0,1.0,16.43587962962927,64.59481185859465,-0.00029227665733276987,0.0008435294082341191,1.0,0.5386586538030493
t_6,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.000422307284317425,83038208.0,0.422307284317425,8303820.800000001,0.0,1.0,16.661342592592007,65.62700766169306,-0.00042122212391669414,0.000422307284317425,1.0,0.4940792752269221
t_7,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.002208826924948694,83177472.0,2.2088269249486943,8317747.2,0.0,1.0,16.43287037037024,64.62917090740623,0.0017865196406312693,0.002208826924948694,1.0,0.6876581167094902
t_8,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.004144225088111478,83357696.0,4.144225088111478,8335769.600000001,16.0,1.0,16.27013888888844,64.48053990934709,0.0019353981631627837,0.004144225088111478,0.058823529411764705,0.8975272794162337
t_9,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0035870846360765924,92315648.0,3.5870846360765922,9231564.8,16.0,1.0,16.04930555555559,64.71980383107143,-0.0005571404520348855,0.0035870846360765924,1.0,0.8857755559872336
t_10,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.003520150811025235,92315648.0,3.520150811025235,9231564.8,16.0,1.0,16.021296296295844,65.83850947197763,-6.693382505135745e-05,0.003520150811025235,1.0,0.8785511035988373
t_11,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0036910876484302748,92315648.0,3.691087648430275,9231564.8,16.0,1.0,15.744444444444184,64.40020220612581,0.00017093683740503985,0.0036910876484302748,1.0,0.8970010434059259
t_12,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.004248054139595462,92315648.0,4.248054139595462,9231564.8,16.0,1.0,15.49629629629601,63.779040580410545,0.0005569664911651874,0.004248054139595462,1.0,0.957116805418147
t_13,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.004377471511421851,92315648.0,4.377471511421851,9231564.8,16.0,1.0,15.225231481481046,64.22263464186751,0.00012941737182638885,0.004377471511421851,1.0,0.9710853727348026
t_14,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.004632449731336354,92315648.0,4.6324497313363535,9231564.8,16.0,1.0,15.237731481481575,65.13728501543159,0.00025497821991450273,0.004632449731336354,1.0,0.9986062563603381
t_15,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0024386502849060893,92315648.0,2.4386502849060894,9231564.8,16.0,1.0,14.919675925926228,63.97032677579434,-0.0021937994464302645,0.0024386502849060893,1.0,0.7618201524993249
t_16,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0021420842166201873,92315648.0,2.142084216620187,9231564.8,16.0,1.0,14.768518518518519,64.0307737133036,-0.00029656606828590195,0.0021420842166201873,1.0,0.7298105155377221
t_17,adservice_checkout_replicas_2_users_10,adservice,checkout,2,10,0.0018761101540584212,92315648.0,1.8761101540584213,9231564.8,16.0,1.0,14.61782407407452,64.6148025779032,-0.0002659740625617661,0.0018761101540584212,1.0,0.7011028038530626
