timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008894434027505474,18923520.0,0.8894434027505473,1892352.0,0.0,2.0,17.490046296296114,69.84784813650262,0.0,0.0008894434027505474,1.0,0.47731842662580226
t_1,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008826555259952778,19329024.0,0.8826555259952779,1932902.4000000001,0.0,2.0,17.55972222222158,70.4620130104599,-6.787876755269583e-06,0.0008826555259952778,1.0,0.4778968761309048
t_2,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008797173610089851,19660800.0,0.8797173610089851,1966080.0,0.0,2.0,17.716203703702945,72.11179709819716,-2.9381649862927125e-06,0.0008797173610089851,1.0,0.479346637477697
t_3,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008861568557709412,20127744.0,0.8861568557709413,2012774.4000000001,0.0,2.0,17.949999999999704,70.49882092238678,6.439494761956133e-06,0.0008861568557709412,1.0,0.48533497346791354
t_4,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008618128739935332,19853312.0,0.8618128739935332,1985331.2000000002,0.0,2.0,18.23495370370371,70.56226646779233,-2.434398177740798e-05,0.0008618128739935332,1.0,0.47413992487199796
t_5,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008292310490249569,20201472.0,0.8292310490249569,2020147.2000000002,0.0,2.0,18.04282407407534,71.73017426659673,-3.258182496857637e-05,0.0008292310490249569,1.0,0.4646483508093483
t_6,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.000815349770317019,20635648.0,0.8153497703170189,2063564.8,0.0,2.0,18.10879629629636,72.74432844551917,-1.3881278707937898e-05,0.000815349770317019,1.0,0.46279864972488394
t_7,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008830129809169132,21110784.0,0.8830129809169132,2111078.4,0.0,2.0,18.03495370370473,71.55183206196523,6.766321059989422e-05,0.0008830129809169132,1.0,0.49170699233363124
t_8,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.000843079024758378,20688896.0,0.843079024758378,2068889.6,0.0,2.0,17.277777777777985,70.60552138669622,-3.9933956158535186e-05,0.000843079024758378,1.0,0.4735597555909402
t_9,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008733939534589341,21020672.0,0.8733939534589341,2102067.2,0.0,2.0,17.10949074074118,49.99221611366923,3.0314928700556055e-05,0.0008733939534589341,1.0,0.48742415270385353
t_10,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008515231829595754,22011904.0,0.8515231829595754,2201190.4,0.0,2.0,16.043981481481623,49.41445933725268,-2.1870770499358657e-05,0.0008515231829595754,1.0,0.48686759537079877
t_11,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0009017111063381504,22315008.0,0.9017111063381504,2231500.8000000003,0.0,4.0,15.04537037037052,47.65252731419438,5.018792337857503e-05,0.0009017111063381504,1.0,0.5079312476934588
t_12,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008649949332222588,21737472.0,0.8649949332222588,2173747.2,0.0,4.0,13.73958333333374,47.40541703514144,-3.6716173115891636e-05,0.0008649949332222588,1.0,0.48979058775861994
t_13,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.000936268677819045,22286336.0,0.936268677819045,2228633.6,0.0,4.0,12.358564814814798,47.82202362553185,7.12737445967862e-05,0.000936268677819045,1.0,0.5206128100263901
t_14,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.000989627849626589,22757376.0,0.989627849626589,2275737.6,0.0,4.0,11.53124999999919,48.92561128496096,5.3359171807543996e-05,0.000989627849626589,1.0,0.5441494741146368
t_15,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.00099642125364147,23060480.0,0.9964212536414699,2306048.0,0.0,4.0,10.31990740740757,48.2861831394775,6.793404014880959e-06,0.00099642125364147,1.0,0.5490123134477007
t_16,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0010158699554084754,22708224.0,1.0158699554084754,2270822.4,0.0,4.0,9.256944444444642,47.92527569076056,1.9448701767005435e-05,0.0010158699554084754,1.0,0.553569356002675
t_17,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0009783400715812464,22974464.0,0.9783400715812465,2297446.4,0.0,4.0,8.84444444444415,48.142374902451536,-3.752988382722897e-05,0.0009783400715812464,1.0,0.5416016725174908
t_18,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0009451753920590792,23461888.0,0.9451753920590792,2346188.8000000003,0.0,4.0,8.060648148146825,49.24303891918177,-3.316467952216718e-05,0.0009451753920590792,1.0,0.5329614775323768
t_19,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0009390868226088404,23810048.0,0.9390868226088405,2381004.8000000003,0.0,4.0,8.050925925925995,47.99306921761573,-6.088569450238821e-06,0.0009390868226088404,1.0,0.5333608363440123
t_20,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008875558086978891,23306240.0,0.8875558086978891,2330624.0,0.0,4.0,7.551388888889591,47.9921446468477,-5.1531013910951335e-05,0.0008875558086978891,1.0,0.5102551677743588
t_21,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008891717201060316,23760896.0,0.8891717201060315,2376089.6,0.0,4.0,7.42291666666695,48.11376318544116,1.6159114081424827e-06,0.0008891717201060316,1.0,0.5143483560968839
t_22,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008687899925850652,24129536.0,0.8687899925850652,2412953.6,0.0,4.0,7.441898148149278,49.13256520660283,-2.038172752096641e-05,0.0008687899925850652,1.0,0.5095687422244813
t_23,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008591270605622307,23961600.0,0.8591270605622306,2396160.0,0.0,4.0,7.487268518518107,48.45462993805126,-9.66293202283447e-06,0.0008591270605622307,1.0,0.5046721397973553
t_24,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0008162779097470029,24293376.0,0.8162779097470029,2429337.6,0.0,4.0,7.425925925924986,48.26521787260264,-4.284915081522779e-05,0.0008162779097470029,1.0,0.49122162278812176
t_25,paymentservice_browsing_replicas_4_users_50,paymentservice,browsing,4,50,0.0007821370490164473,24514560.0,0.7821370490164473,2451456.0,0.0,4.0,7.432638888887794,48.24994996073073,-3.414086073055562e-05,0.0007821370490164473,1.0,0.4801733429249367
