timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.00012168021180157454,7012352.0,0.12168021180157454,701235.2000000001,0.0,1.0,7.9104166666662366,48.236831051184495,0.0,0.00012168021180157454,1.0,0.3031364710634511
t_1,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.00017056952900783694,7397376.0,0.17056952900783695,739737.6000000001,0.0,1.0,7.7803240740740875,48.13230457759985,4.8889317206262395e-05,0.00017056952900783694,1.0,0.3453481632562412
t_2,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.0002498594525819172,7737344.0,0.24985945258191722,773734.4,0.0,1.0,8.083796296295986,49.477155230684154,7.928992357408027e-05,0.0002498594525819172,1.0,0.40450078102542625
t_3,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.00014418817511654774,8581120.0,0.14418817511654775,858112.0,0.0,2.0,8.061342592592254,47.95553664211389,-0.00010567127746536947,0.00014418817511654774,1.0,0.3680973133380139
t_4,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.00019440833333333335,0.0,0.19440833333333335,0.0,0.0,2.0,8.133564814815045,48.27881156173247,5.022015821678561e-05,0.00019440833333333335,1.0,0.1177621693528144
t_5,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.00041287558686659183,6889472.0,0.4128755868665918,688947.2000000001,0.0,2.0,8.130555555554992,48.385886852028946,0.00021846725353325848,0.00041287558686659183,1.0,0.4755066832452135
t_6,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.00047597709311786567,7950336.0,0.4759770931178657,795033.6000000001,0.0,2.0,8.337268518518812,49.37917571767307,6.310150625127384e-05,0.00047597709311786567,1.0,0.5484393936528775
t_7,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.000558131586963909,7974912.0,0.5581315869639091,797491.2000000001,0.0,2.0,8.258796296296595,48.13652761705378,8.215449384604335e-05,0.000558131586963909,1.0,0.5990082655224536
t_8,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.0006109220602836967,8470528.0,0.6109220602836968,847052.8,19.0,2.0,8.3692129629637,48.38186371976809,5.27904733197877e-05,0.0006109220602836967,0.05,0.6472014023010217
t_9,productcatalogservice_browsing_replicas_4_users_5,productcatalogservice,browsing,4,5,0.0006640577888084458,8495104.0,0.6640577888084458,849510.4,19.0,2.0,8.421990740740782,48.407052026096885,5.3135728524749044e-05,0.0006640577888084458,1.0,0.6801922583644725
