timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008236802655347673,12492800.0,0.8236802655347673,1249280.0,0.0,2.0,9.208564814815091,48.06491086513086,0.0,0.0008236802655347673,1.0,0.9320305222065044
t_1,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008071262506746318,12492800.0,0.8071262506746318,1249280.0,0.0,2.0,9.209722222221899,48.48961369684124,-1.655401486013548e-05,0.0008071262506746318,1.0,0.9232176542580708
t_2,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008341527826588572,12509184.0,0.8341527826588572,1250918.4000000001,0.0,2.0,9.533796296296302,48.31896791914354,2.7026531984225425e-05,0.0008341527826588572,1.0,0.9382530298034607
t_3,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008036870696798983,12509184.0,0.8036870696798983,1250918.4000000001,0.0,2.0,9.554861111110526,48.31274580775875,-3.0465712978958886e-05,0.0008036870696798983,1.0,0.9220339851966439
t_4,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008556334108137368,12570624.0,0.8556334108137368,1257062.4000000001,0.0,2.0,9.033333333332777,48.00748752391703,5.19463411338385e-05,0.0008556334108137368,1.0,0.9521158654379611
t_5,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008468770472380737,12558336.0,0.8468770472380737,1255833.6,0.0,2.0,9.02013888888817,48.38171378937328,-8.756363575663129e-06,0.0008468770472380737,1.0,0.9469687995349496
t_6,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008185104949318878,12558336.0,0.8185104949318879,1255833.6,0.0,2.0,9.32129629629614,49.34319242291766,-2.836655230618586e-05,0.0008185104949318878,1.0,0.9318672859904158
t_7,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008277629102712455,12566528.0,0.8277629102712455,1256652.8,0.0,2.0,9.124537037036191,48.14904680502077,9.2524153393577e-06,0.0008277629102712455,1.0,0.9371166228846084
t_8,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008037256121371869,12574720.0,0.8037256121371869,1257472.0,0.0,2.0,9.128240740740651,48.06648513427641,-2.4037298134058646e-05,0.0008037256121371869,1.0,0.9246435008248162
t_9,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008100927868036811,12574720.0,0.8100927868036811,1257472.0,0.0,2.0,9.03657407407384,47.9420928833789,6.3671746664942285e-06,0.0008100927868036811,1.0,0.9280331963164854
t_10,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008331077026651143,12578816.0,0.8331077026651142,1257881.6,0.0,2.0,9.173611111111185,49.63878019629387,2.3014915861433154e-05,0.0008331077026651143,1.0,0.9404474691831397
t_11,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008346291687581363,12578816.0,0.8346291687581363,1257881.6,0.0,2.0,9.138194444444537,47.96983000641952,1.5214660930220215e-06,0.0008346291687581363,1.0,0.9412574527357165
t_12,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008143817099390476,12578816.0,0.8143817099390477,1257881.6,15.0,2.0,9.233333333333775,48.43701311666059,-2.0247458819088664e-05,0.0008143817099390476,0.0625,0.930478304452258
t_13,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0008409276698417346,12283904.0,0.8409276698417346,1228390.4000000001,15.0,2.0,9.36689814814767,48.196924577764776,2.6545959902686956e-05,0.0008409276698417346,1.0,0.932960103005889
t_14,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0007679264027575614,12283904.0,0.7679264027575614,1228390.4000000001,15.0,2.0,9.578009259260028,49.37130437194532,-7.300126708417319e-05,0.0007679264027575614,1.0,0.8940963873262303
t_15,shippingservice_checkout_replicas_4_users_20,shippingservice,checkout,4,20,0.0007947186317922177,12333056.0,0.7947186317922178,1233305.6,15.0,2.0,9.408333333333715,48.284508916735405,2.679222903465635e-05,0.0007947186317922177,1.0,0.9103015252923468
